name	mle	cilow	cihigh	dataset
wmis	1.4075639893092815	1.307830702997552	1.5149027924327354	DD fathers
wnon	3.714301768109899	3.281114238779793	4.204680672659208	DD fathers
wspl	2.771193092335119	2.2667093162754317	3.3879558794175475	DD fathers
wtru	3.4420555035617064	3.079201684187537	3.84766809866354	DD fathers
wall	1.5573440012366335	1.448970582392087	1.6738230352363657	DD fathers
wmis	1.2543329370398242	1.0186819654984411	1.5444968795271743	Controls
wnon	3.904968386576859	2.816291064007616	5.4144893953061395	Controls
wspl	2.207476081305083	1.19998895710379	4.060829577377995	Controls
wtru	3.4559551923062646	2.5572042937995314	4.670579632682618	Controls
wall	1.443282697004555	1.178331689081618	1.7678086423155313	Controls
