total	Sample_PD_ID	region
689113548	PD59492b_tds0001	coding
1250821968	PD59492b_tds0001	exclDrivers
697145678	PD59492b_tds0001	nonCoding
736687429	PD59493b_tds0001	coding
1370621070	PD59493b_tds0001	exclDrivers
777203863	PD59493b_tds0001	nonCoding
689375350	PD59494b_tds0001	coding
1276977227	PD59494b_tds0001	exclDrivers
722154672	PD59494b_tds0001	nonCoding
610877244	PD59495b_tds0001	coding
1114544610	PD59495b_tds0001	exclDrivers
620316487	PD59495b_tds0001	nonCoding
780629145	PD59496b_tds0001	coding
1491724501	PD59496b_tds0001	exclDrivers
862112091	PD59496b_tds0001	nonCoding
694077155	PD59498b_tds0001	coding
1281939941	PD59498b_tds0001	exclDrivers
723214145	PD59498b_tds0001	nonCoding
742028665	PD59499b_tds0001	coding
1417257345	PD59499b_tds0001	exclDrivers
817539487	PD59499b_tds0001	nonCoding
717522321	PD59500b_tds0001	coding
1324380843	PD59500b_tds0001	exclDrivers
746876466	PD59500b_tds0001	nonCoding
499822939	PD63767c_tds0001	coding
811097548	PD63767c_tds0001	exclDrivers
412235109	PD63767c_tds0001	nonCoding
927431986	PD63768c_tds0001	coding
1528642197	PD63768c_tds0001	exclDrivers
791617360	PD63768c_tds0001	nonCoding
1882306117	PD63769c_tds0001	coding
3020389842	PD63769c_tds0001	exclDrivers
1521782839	PD63769c_tds0001	nonCoding
1507275499	PD63770c_tds0001	coding
2471495555	PD63770c_tds0001	exclDrivers
1268619323	PD63770c_tds0001	nonCoding
1146109467	PD63772c_tds0001	coding
1870034117	PD63772c_tds0001	exclDrivers
947876320	PD63772c_tds0001	nonCoding
745368583	PD63773c_tds0001	coding
1238196490	PD63773c_tds0001	exclDrivers
642312479	PD63773c_tds0001	nonCoding
638189593	PD63774c_tds0001	coding
1036792784	PD63774c_tds0001	exclDrivers
528396487	PD63774c_tds0001	nonCoding
1528803713	PD63775c_tds0001	coding
2456844726	PD63775c_tds0001	exclDrivers
1233720444	PD63775c_tds0001	nonCoding
901856365	PD63780c_tds0001	coding
1469869069	PD63780c_tds0001	exclDrivers
751728599	PD63780c_tds0001	nonCoding
809906237	PD63781c_tds0001	coding
1339757341	PD63781c_tds0001	exclDrivers
696485067	PD63781c_tds0001	nonCoding
919155177	PD63782c_tds0001	coding
1492606781	PD63782c_tds0001	exclDrivers
755615399	PD63782c_tds0001	nonCoding
1039560471	PD63783c_tds0001	coding
1748177515	PD63783c_tds0001	exclDrivers
921960747	PD63783c_tds0001	nonCoding
932796523	PD63785c_tds0001	coding
1517220055	PD63785c_tds0001	exclDrivers
767745889	PD63785c_tds0001	nonCoding
1443804329	PD63786c_tds0001	coding
2341998224	PD63786c_tds0001	exclDrivers
1184761453	PD63786c_tds0001	nonCoding
615953589	PD63789d_tds0001	coding
1121569514	PD63789d_tds0001	exclDrivers
630161712	PD63789d_tds0001	nonCoding
894321896	PD63790c_tds0001	coding
1455006925	PD63790c_tds0001	exclDrivers
738562967	PD63790c_tds0001	nonCoding
907121811	PD63791c_tds0001	coding
1463677789	PD63791c_tds0001	exclDrivers
743343699	PD63791c_tds0001	nonCoding
795903961	PD63794c_tds0001	coding
1318509735	PD63794c_tds0001	exclDrivers
686232807	PD63794c_tds0001	nonCoding
258660074	PD63795c_tds0001	coding
373311888	PD63795c_tds0001	exclDrivers
164224175	PD63795c_tds0001	nonCoding
1369219971	PD63802c_tds0001	coding
2152535919	PD63802c_tds0001	exclDrivers
1060972929	PD63802c_tds0001	nonCoding
764177128	PD63803c_tds0001	coding
1229252496	PD63803c_tds0001	exclDrivers
622256817	PD63803c_tds0001	nonCoding
956259472	PD63808c_tds0001	coding
1501589832	PD63808c_tds0001	exclDrivers
741722131	PD63808c_tds0001	nonCoding
405637338	PD63862c_tds0001	coding
599271089	PD63862c_tds0001	exclDrivers
272383108	PD63862c_tds0001	nonCoding
737925265	PD63865c_tds0001	coding
1213981500	PD63865c_tds0001	exclDrivers
628187921	PD63865c_tds0001	nonCoding
905357788	PD63866d_tds0001	coding
1563330957	PD63866d_tds0001	exclDrivers
837576621	PD63866d_tds0001	nonCoding
639012885	PD63867c_tds0001	coding
1054655051	PD63867c_tds0001	exclDrivers
540659802	PD63867c_tds0001	nonCoding
718429507	PD63870c_tds0001	coding
1191539799	PD63870c_tds0001	exclDrivers
619499659	PD63870c_tds0001	nonCoding
610161847	PD63875c_tds0001	coding
1003470044	PD63875c_tds0001	exclDrivers
517090257	PD63875c_tds0001	nonCoding
1261316624	PD63876c_tds0001	coding
2172312459	PD63876c_tds0001	exclDrivers
1167838649	PD63876c_tds0001	nonCoding
697556039	PD63880c_tds0001	coding
1152650188	PD63880c_tds0001	exclDrivers
594822459	PD63880c_tds0001	nonCoding
532457599	PD63882c_tds0001	coding
800653061	PD63882c_tds0001	exclDrivers
369758243	PD63882c_tds0001	nonCoding
1673907439	PD63886c_tds0001	coding
2671292116	PD63886c_tds0001	exclDrivers
1335398779	PD63886c_tds0001	nonCoding
693828678	PD63887c_tds0001	coding
1038113366	PD63887c_tds0001	exclDrivers
482323739	PD63887c_tds0001	nonCoding
732882827	PD63888c_tds0001	coding
1172979393	PD63888c_tds0001	exclDrivers
586808878	PD63888c_tds0001	nonCoding
431081545	PD63889c_tds0001	coding
657276813	PD63889c_tds0001	exclDrivers
313225088	PD63889c_tds0001	nonCoding
928868700	PD63890c_tds0001	coding
1501806960	PD63890c_tds0001	exclDrivers
763975428	PD63890c_tds0001	nonCoding
515514974	PD63891c_tds0001	coding
823821297	PD63891c_tds0001	exclDrivers
412717064	PD63891c_tds0001	nonCoding
593733409	PD63892c_tds0001	coding
946464552	PD63892c_tds0001	exclDrivers
474601530	PD63892c_tds0001	nonCoding
759345011	PD63894c_tds0001	coding
1288571236	PD63894c_tds0001	exclDrivers
685993117	PD63894c_tds0001	nonCoding
332815487	PD63896c_tds0001	coding
509775900	PD63896c_tds0001	exclDrivers
244754267	PD63896c_tds0001	nonCoding
1019011603	PD63898c_tds0001	coding
1718940817	PD63898c_tds0001	exclDrivers
908325335	PD63898c_tds0001	nonCoding
526438061	PD63899c_tds0001	coding
842611536	PD63899c_tds0001	exclDrivers
421583074	PD63899c_tds0001	nonCoding
926044791	PD63901d_tds0001	coding
1494096912	PD63901d_tds0001	exclDrivers
750640210	PD63901d_tds0001	nonCoding
1110400655	PD63902d_tds0001	coding
1898692351	PD63902d_tds0001	exclDrivers
1008611294	PD63902d_tds0001	nonCoding
677689647	PD63904c_tds0001	coding
1031146225	PD63904c_tds0001	exclDrivers
481280867	PD63904c_tds0001	nonCoding
924729254	PD63905c_tds0001	coding
1513124314	PD63905c_tds0001	exclDrivers
779598051	PD63905c_tds0001	nonCoding
1902824556	PD63906c_tds0001	coding
3384667484	PD63906c_tds0001	exclDrivers
1852497412	PD63906c_tds0001	nonCoding
249634060	PD63907c_tds0001	coding
413732264	PD63907c_tds0001	exclDrivers
214714306	PD63907c_tds0001	nonCoding
837764422	PD63908c_tds0001	coding
1348869599	PD63908c_tds0001	exclDrivers
683000513	PD63908c_tds0001	nonCoding
694035152	PD63910c_tds0001	coding
1147142181	PD63910c_tds0001	exclDrivers
594351164	PD63910c_tds0001	nonCoding
593608900	PD63911c_tds0001	coding
988861507	PD63911c_tds0001	exclDrivers
514797037	PD63911c_tds0001	nonCoding
963434132	PD63913c_tds0001	coding
1543344350	PD63913c_tds0001	exclDrivers
772392896	PD63913c_tds0001	nonCoding
868138552	PD63916c_tds0001	coding
1489450235	PD63916c_tds0001	exclDrivers
798224393	PD63916c_tds0001	nonCoding
934448397	PD63917c_tds0001	coding
1566477036	PD63917c_tds0001	exclDrivers
821204730	PD63917c_tds0001	nonCoding
560186608	PD63918c_tds0001	coding
1009155958	PD63918c_tds0001	exclDrivers
562009369	PD63918c_tds0001	nonCoding
811266252	PD63919c_tds0001	coding
1330344626	PD63919c_tds0001	exclDrivers
685642631	PD63919c_tds0001	nonCoding
227298588	PD63920c_tds0001	coding
330012162	PD63920c_tds0001	exclDrivers
147224855	PD63920c_tds0001	nonCoding
837572698	PD63922c_tds0001	coding
1334070872	PD63922c_tds0001	exclDrivers
668111813	PD63922c_tds0001	nonCoding
732499583	PD63923c_tds0001	coding
1231097538	PD63923c_tds0001	exclDrivers
649439394	PD63923c_tds0001	nonCoding
326632609	PD63925c_tds0001	coding
472623940	PD63925c_tds0001	exclDrivers
209408951	PD63925c_tds0001	nonCoding
674000382	PD63926c_tds0001	coding
1080736179	PD63926c_tds0001	exclDrivers
545452967	PD63926c_tds0001	nonCoding
629798547	PD63930c_tds0001	coding
944716597	PD63930c_tds0001	exclDrivers
438198663	PD63930c_tds0001	nonCoding
1179444600	PD63931c_tds0001	coding
1949072343	PD63931c_tds0001	exclDrivers
1010617841	PD63931c_tds0001	nonCoding
839262962	PD63932c_tds0001	coding
1353798247	PD63932c_tds0001	exclDrivers
686888520	PD63932c_tds0001	nonCoding
631299027	PD63935c_tds0001	coding
1033352792	PD63935c_tds0001	exclDrivers
531662795	PD63935c_tds0001	nonCoding
945775899	PD63936c_tds0001	coding
1528090030	PD63936c_tds0001	exclDrivers
768735082	PD63936c_tds0001	nonCoding
639052229	PD63938c_tds0001	coding
1058729546	PD63938c_tds0001	exclDrivers
551438340	PD63938c_tds0001	nonCoding
1020166437	PD63943c_tds0001	coding
1657372618	PD63943c_tds0001	exclDrivers
844809003	PD63943c_tds0001	nonCoding
272613136	PD63944c_tds0001	coding
439959362	PD63944c_tds0001	exclDrivers
221047502	PD63944c_tds0001	nonCoding
382919789	PD63946c_tds0001	coding
629017625	PD63946c_tds0001	exclDrivers
322149315	PD63946c_tds0001	nonCoding
833110089	PD63947c_tds0001	coding
1368666797	PD63947c_tds0001	exclDrivers
707383500	PD63947c_tds0001	nonCoding
873777652	PD63949c_tds0001	coding
1421242447	PD63949c_tds0001	exclDrivers
724214159	PD63949c_tds0001	nonCoding
651842623	PD63951c_tds0001	coding
1077251847	PD63951c_tds0001	exclDrivers
556309438	PD63951c_tds0001	nonCoding
803197645	PD63954c_tds0001	coding
1328083381	PD63954c_tds0001	exclDrivers
685886896	PD63954c_tds0001	nonCoding
615441734	PD63996b_tds0001	coding
915154925	PD63996b_tds0001	exclDrivers
416939196	PD63996b_tds0001	nonCoding
903808510	PD63997d_tds0001	coding
1672057239	PD63997d_tds0001	exclDrivers
948336874	PD63997d_tds0001	nonCoding
891055450	PD68786b_tds0001	coding
1612609027	PD68786b_tds0001	exclDrivers
902015177	PD68786b_tds0001	nonCoding
816971121	PD68787b_tds0001	coding
1501369325	PD68787b_tds0001	exclDrivers
844853290	PD68787b_tds0001	nonCoding
753335970	PD68788b_tds0001	coding
1309847035	PD68788b_tds0001	exclDrivers
708529735	PD68788b_tds0001	nonCoding
986947610	PD68789b_tds0001	coding
1654320979	PD68789b_tds0001	exclDrivers
860905619	PD68789b_tds0001	nonCoding
714919061	PD68791b_tds0001	coding
1293423916	PD68791b_tds0001	exclDrivers
723092259	PD68791b_tds0001	nonCoding
964581758	PD68792b_tds0001	coding
1722103766	PD68792b_tds0001	exclDrivers
949992024	PD68792b_tds0001	nonCoding
872184164	PD68793b_tds0001	coding
1624543472	PD68793b_tds0001	exclDrivers
924090413	PD68793b_tds0001	nonCoding
740644270	PD68794b_tds0001	coding
1340616005	PD68794b_tds0001	exclDrivers
747873082	PD68794b_tds0001	nonCoding
692285806	PD68795b_tds0001	coding
1279056549	PD68795b_tds0001	exclDrivers
724990916	PD68795b_tds0001	nonCoding
903515875	PD68796b_tds0001	coding
1633664683	PD68796b_tds0001	exclDrivers
911949576	PD68796b_tds0001	nonCoding
1117617302	PD68797b_tds0001	coding
2004841148	PD68797b_tds0001	exclDrivers
1113193036	PD68797b_tds0001	nonCoding
345557816	PD68798b_tds0001	coding
661851374	PD68798b_tds0001	exclDrivers
390054300	PD68798b_tds0001	nonCoding
963428488	PD68800b_tds0001	coding
1785356954	PD68800b_tds0001	exclDrivers
1017846260	PD68800b_tds0001	nonCoding
713273232	PD68801b_tds0001	coding
1254222561	PD68801b_tds0001	exclDrivers
682284328	PD68801b_tds0001	nonCoding
1002282647	PD68802b_tds0001	coding
1850559680	PD68802b_tds0001	exclDrivers
1051168661	PD68802b_tds0001	nonCoding
477088964	PD68803b_tds0001	coding
871138244	PD68803b_tds0001	exclDrivers
490804302	PD68803b_tds0001	nonCoding
883383464	PD68804b_tds0001	coding
1626031214	PD68804b_tds0001	exclDrivers
917539280	PD68804b_tds0001	nonCoding
1273014114	PD68806b_tds0001	coding
2400937993	PD68806b_tds0001	exclDrivers
1384342262	PD68806b_tds0001	nonCoding
722528170	PD68807b_tds0001	coding
1353119886	PD68807b_tds0001	exclDrivers
777783337	PD68807b_tds0001	nonCoding
927665081	PD68808b_tds0001	coding
1700065362	PD68808b_tds0001	exclDrivers
959700990	PD68808b_tds0001	nonCoding
974308206	PD68809b_tds0001	coding
1763409499	PD68809b_tds0001	exclDrivers
986386282	PD68809b_tds0001	nonCoding
810632532	PD68810b_tds0001	coding
1507283095	PD68810b_tds0001	exclDrivers
861111081	PD68810b_tds0001	nonCoding
908078796	PD68811b_tds0001	coding
1689978122	PD68811b_tds0001	exclDrivers
965697917	PD68811b_tds0001	nonCoding
838634893	PD68813b_tds0001	coding
1531040220	PD68813b_tds0001	exclDrivers
860695155	PD68813b_tds0001	nonCoding
832303347	PD68814b_tds0001	coding
1547712473	PD68814b_tds0001	exclDrivers
883031389	PD68814b_tds0001	nonCoding
775674398	PD68815b_tds0001	coding
1449803742	PD68815b_tds0001	exclDrivers
831478848	PD68815b_tds0001	nonCoding
939987205	PD68816b_tds0001	coding
1747206443	PD68816b_tds0001	exclDrivers
995204131	PD68816b_tds0001	nonCoding
779255895	PD68817b_tds0001	coding
1437890901	PD68817b_tds0001	exclDrivers
815706571	PD68817b_tds0001	nonCoding
904068626	PD68818b_tds0001	coding
1679103458	PD68818b_tds0001	exclDrivers
957938351	PD68818b_tds0001	nonCoding
927627264	PD68819b_tds0001	coding
1723509343	PD68819b_tds0001	exclDrivers
983277681	PD68819b_tds0001	nonCoding
878829280	PD68820b_tds0001	coding
1587640963	PD68820b_tds0001	exclDrivers
887171952	PD68820b_tds0001	nonCoding
852475743	PD68822b_tds0001	coding
1588402295	PD68822b_tds0001	exclDrivers
907686410	PD68822b_tds0001	nonCoding
601297127	PD68823b_tds0001	coding
1108133189	PD68823b_tds0001	exclDrivers
627190008	PD68823b_tds0001	nonCoding
876675185	PD68824b_tds0001	coding
1655610884	PD68824b_tds0001	exclDrivers
950852517	PD68824b_tds0001	nonCoding
956000319	PD68825b_tds0001	coding
1810482724	PD68825b_tds0001	exclDrivers
1048337040	PD68825b_tds0001	nonCoding
901144615	PD68826b_tds0001	coding
1662898100	PD68826b_tds0001	exclDrivers
775582727	PD68827b_tds0001	coding
1440003385	PD68827b_tds0001	exclDrivers
821832824	PD68827b_tds0001	nonCoding
987202511	PD68829b_tds0001	coding
1797634436	PD68829b_tds0001	exclDrivers
1008086382	PD68829b_tds0001	nonCoding
939237130	PD68830b_tds0001	coding
1782032988	PD68830b_tds0001	exclDrivers
1031394212	PD68830b_tds0001	nonCoding
678875013	PD68831b_tds0001	coding
1234280549	PD68831b_tds0001	exclDrivers
691690622	PD68831b_tds0001	nonCoding
912594298	PD68832b_tds0001	coding
1711371316	PD68832b_tds0001	exclDrivers
981315468	PD68832b_tds0001	nonCoding
906519589	PD68833b_tds0001	coding
1669996851	PD68833b_tds0001	exclDrivers
948009438	PD68833b_tds0001	nonCoding
753707781	PD68834b_tds0001	coding
1378518539	PD68834b_tds0001	exclDrivers
775759900	PD68834b_tds0001	nonCoding
863105443	PD68836b_tds0001	coding
1546071508	PD68836b_tds0001	exclDrivers
858906218	PD68836b_tds0001	nonCoding
953079954	PD68838b_tds0001	coding
1780672826	PD68838b_tds0001	exclDrivers
1019432645	PD68838b_tds0001	nonCoding
765513486	PD68839b_tds0001	coding
1397720901	PD68839b_tds0001	exclDrivers
785937666	PD68839b_tds0001	nonCoding
818106254	PD68840b_tds0001	coding
1479910778	PD68840b_tds0001	exclDrivers
826506007	PD68840b_tds0001	nonCoding
889276105	PD68841b_tds0001	coding
1620254451	PD68841b_tds0001	exclDrivers
910612065	PD68841b_tds0001	nonCoding
1168201771	PD68842b_tds0001	coding
2137218112	PD68842b_tds0001	exclDrivers
1205328383	PD68842b_tds0001	nonCoding
897902098	PD68844b_tds0001	coding
1669390110	PD68844b_tds0001	exclDrivers
951057104	PD68844b_tds0001	nonCoding
838494032	PD68845b_tds0001	coding
1484318693	PD68845b_tds0001	exclDrivers
814911958	PD68845b_tds0001	nonCoding
