Age	fit	ci_lo	ci_hi	class	region	dataset	label
20	4.517886438397964e-9	1.5964192223643767e-9	7.4393536544315505e-9	indel	exclDrivers	Controls	0 + 0.00 × age
25	4.578048002090625e-9	2.0349135823292953e-9	7.1211824218519544e-9	indel	exclDrivers	Controls	0 + 0.00 × age
30	4.638209565783285e-9	2.4601222839827272e-9	6.816296847583843e-9	indel	exclDrivers	Controls	0 + 0.00 × age
35	4.698371129475946e-9	2.864095990665335e-9	6.5326462682865565e-9	indel	exclDrivers	Controls	0 + 0.00 × age
40	4.758532693168607e-9	3.2324147717330376e-9	6.2846506146041765e-9	indel	exclDrivers	Controls	0 + 0.00 × age
45	4.818694256861267e-9	3.539055212854813e-9	6.098333300867722e-9	indel	exclDrivers	Controls	0 + 0.00 × age
50	4.878855820553928e-9	3.7431244247937e-9	6.014587216314157e-9	indel	exclDrivers	Controls	0 + 0.00 × age
55	4.939017384246589e-9	3.804881117638385e-9	6.073153650854792e-9	indel	exclDrivers	Controls	0 + 0.00 × age
60	4.99917894793925e-9	3.7237912081881943e-9	6.274566687690305e-9	indel	exclDrivers	Controls	0 + 0.00 × age
65	5.05934051163191e-9	3.5391654395663897e-9	6.57951558369743e-9	indel	exclDrivers	Controls	0 + 0.00 × age
70	5.119502075324571e-9	3.292148754178847e-9	6.946855396470295e-9	indel	exclDrivers	Controls	0 + 0.00 × age
75	5.179663639017232e-9	3.009069798975756e-9	7.3502574790587075e-9	indel	exclDrivers	Controls	0 + 0.00 × age
20	3.692807888142782e-9	2.719750315852744e-10	7.113640744700289e-9	indel	germanPanel	Controls	0 + 0.00 × age
25	4.490928397615005e-9	1.5130966649785595e-9	7.468760130251451e-9	indel	germanPanel	Controls	0 + 0.00 × age
30	5.289048907087227e-9	2.7386617258991154e-9	7.83943608827534e-9	indel	germanPanel	Controls	0 + 0.00 × age
35	6.087169416559451e-9	3.9393620996151205e-9	8.234976733503781e-9	indel	germanPanel	Controls	0 + 0.00 × age
40	6.885289926031673e-9	5.098313060442905e-9	8.672266791620441e-9	indel	germanPanel	Controls	0 + 0.00 × age
45	7.683410435503896e-9	6.185043018526935e-9	9.181777852480857e-9	indel	germanPanel	Controls	0 + 0.00 × age
50	8.48153094497612e-9	7.151669273580988e-9	9.811392616371251e-9	indel	germanPanel	Controls	0 + 0.00 × age
55	9.279651454448342e-9	7.9516575672213e-9	1.0607645341675385e-8	indel	germanPanel	Controls	0 + 0.00 × age
60	1.0077771963920565e-8	8.584382525542946e-9	1.1571161402298184e-8	indel	germanPanel	Controls	0 + 0.00 × age
65	1.0875892473392787e-8	9.09587426688979e-9	1.2655910679895784e-8	indel	germanPanel	Controls	0 + 0.00 × age
70	1.1674012982865012e-8	9.534310628100367e-9	1.3813715337629656e-8	indel	germanPanel	Controls	0 + 0.00 × age
75	1.2472133492337234e-8	9.930520604982536e-9	1.5013746379691932e-8	indel	germanPanel	Controls	0 + 0.00 × age
20	1.5044912837628286e-8	8.915823951916307e-9	2.1174001723340265e-8	snv	exclDrivers	Controls	-0 + 0.00 × age
25	1.988872903114609e-8	1.455336301317892e-8	2.522409504911326e-8	snv	exclDrivers	Controls	-0 + 0.00 × age
30	2.473254522466389e-8	2.016302944241287e-8	2.930206100691491e-8	snv	exclDrivers	Controls	-0 + 0.00 × age
35	2.957636141818169e-8	2.5728145937644645e-8	3.342457689871873e-8	snv	exclDrivers	Controls	-0 + 0.00 × age
40	3.4420177611699494e-8	3.1218460221471187e-8	3.76218950019278e-8	snv	exclDrivers	Controls	-0 + 0.00 × age
45	3.9263993805217294e-8	3.657937650083715e-8	4.194861110959744e-8	snv	exclDrivers	Controls	-0 + 0.00 × age
50	4.4107809998735095e-8	4.172510358440163e-8	4.649051641306856e-8	snv	exclDrivers	Controls	-0 + 0.00 × age
55	4.8951626192252895e-8	4.657226627734386e-8	5.133098610716193e-8	snv	exclDrivers	Controls	-0 + 0.00 × age
60	5.37954423857707e-8	5.1119744100408994e-8	5.647114067113241e-8	snv	exclDrivers	Controls	-0 + 0.00 × age
65	5.86392585792885e-8	5.545000898326426e-8	6.182850817531274e-8	snv	exclDrivers	Controls	-0 + 0.00 × age
70	6.34830747728063e-8	5.964938091191502e-8	6.731676863369759e-8	snv	exclDrivers	Controls	-0 + 0.00 × age
75	6.83268909663241e-8	6.377309604184936e-8	7.288068589079885e-8	snv	exclDrivers	Controls	-0 + 0.00 × age
20	1.4777704631263649e-8	5.7612697286549586e-9	2.379413953387234e-8	snv	germanPanel	Controls	-0 + 0.00 × age
25	2.0753265270255823e-8	1.290446730376927e-8	2.8602063236742377e-8	snv	germanPanel	Controls	-0 + 0.00 × age
30	2.6728825909247995e-8	2.0006661758038547e-8	3.345099006045744e-8	snv	germanPanel	Controls	-0 + 0.00 × age
35	3.270438654824017e-8	2.704331929689736e-8	3.8365453799582984e-8	snv	germanPanel	Controls	-0 + 0.00 × age
40	3.8679947187232344e-8	3.3969936129497406e-8	4.338995824496728e-8	snv	germanPanel	Controls	-0 + 0.00 × age
45	4.4655507826224515e-08	4.0706196988232225e-8	4.8604818664216806e-8	snv	germanPanel	Controls	-0 + 0.00 × age
50	5.0631068465216693e-8	4.7125895399943015e-8	5.413624153049037e-8	snv	germanPanel	Controls	-0 + 0.00 × age
55	5.6606629104208865e-8	5.310637903724287e-8	6.010687917117486e-8	snv	germanPanel	Controls	-0 + 0.00 × age
60	6.258218974320104e-8	5.864599957548689e-8	6.651837991091518e-8	snv	germanPanel	Controls	-0 + 0.00 × age
65	6.855775038219322e-8	6.386608055868024e-8	7.32494202057062e-8	snv	germanPanel	Controls	-0 + 0.00 × age
70	7.453331102118539e-8	6.889360636396674e-8	8.017301567840404e-8	snv	germanPanel	Controls	-0 + 0.00 × age
75	8.050887166017756e-8	7.38098342890485e-8	8.720790903130663e-8	snv	germanPanel	Controls	-0 + 0.00 × age
